Latitude;Longitude;Speed [km/h];Distance [m];Time [s]
-22.816142;-46.928148;0.018520;0.549477;8002.312999
-22.816142;-46.928148;0.000000;0.549749;8002.418516
-22.816142;-46.928148;0.018520;0.550122;8002.563563
-22.816142;-46.928148;0.018520;0.550506;8002.638291
-22.816142;-46.928148;0.018520;0.551063;8002.746484
-22.816142;-46.928148;0.018520;0.551640;8002.858603
-22.816142;-46.928148;0.000000;0.551924;8002.969186
-22.816142;-46.928148;0.000000;0.551924;8003.090452
-22.816142;-46.928148;0.018520;0.552212;8003.202428
-22.816142;-46.928148;0.018520;0.552828;8003.322257
-22.816142;-46.928148;0.000000;0.553129;8003.439169
-22.816142;-46.928148;0.000000;0.553129;8003.550621
-22.816142;-46.928148;0.018520;0.553497;8003.693777
-22.816142;-46.928148;0.000000;0.553740;8003.788036
-22.816142;-46.928148;0.000000;0.553740;8003.905776
-22.816142;-46.928148;0.000000;0.553740;8003.993261
-22.816142;-46.928148;0.000000;0.553740;8004.130005
-22.816142;-46.928148;0.018520;0.553979;8004.222898
-22.816142;-46.928148;0.018520;0.554447;8004.313925
-22.816142;-46.928148;0.000000;0.554727;8004.422806
-22.816142;-46.928148;0.018520;0.555000;8004.528987
-22.816142;-46.928148;0.018520;0.555629;8004.651239
-22.816142;-46.928148;0.018520;0.556302;8004.782076
-22.816142;-46.928148;0.018520;0.556838;8004.886191
-22.816142;-46.928148;0.000000;0.557146;8005.006015
-22.816142;-46.928148;0.000000;0.557146;8005.129145
-22.816142;-46.928148;0.018520;0.557406;8005.230148
-22.816142;-46.928148;0.018520;0.557968;8005.339479
-22.816142;-46.928148;0.018520;0.558483;8005.439481
-22.816142;-46.928148;0.000000;0.558753;8005.544506
-22.816142;-46.928148;0.000000;0.558753;8005.658242
-22.816142;-46.928148;0.000000;0.558753;8005.770165
-22.816142;-46.928148;0.000000;0.558753;8005.871366
-22.816142;-46.928148;0.000000;0.558753;8005.989327
-22.816142;-46.928148;0.000000;0.558753;8006.094433
-22.816142;-46.928148;0.000000;0.558753;8006.218224
-22.816142;-46.928148;0.018520;0.559020;8006.322187
-22.816142;-46.928148;0.018520;0.559699;8006.454063
-22.816142;-46.928148;0.018520;0.560180;8006.547636
-22.816142;-46.928148;0.018520;0.560647;8006.638441
-22.816142;-46.928148;0.018520;0.561284;8006.762241
-22.816142;-46.928148;0.018520;0.561811;8006.864681
-22.816142;-46.928148;0.018520;0.562333;8006.966104
-22.816142;-46.928148;0.018520;0.562877;8007.071780
-22.816142;-46.928148;0.000000;0.563155;8007.179980
-22.816142;-46.928148;0.000000;0.563155;8007.282123
-22.816142;-46.928148;0.000000;0.563155;8007.399724
-22.816142;-46.928148;0.000000;0.563155;8007.505978
-22.816142;-46.928148;0.000000;0.563155;8007.609874
-22.816142;-46.928148;0.000000;0.563155;8007.710467
-22.816142;-46.928148;0.018520;0.563446;8007.823543
-22.816142;-46.928148;0.018520;0.564048;8007.940676
-22.816142;-46.928148;0.018520;0.564511;8008.030533
-22.816142;-46.928148;0.018520;0.565049;8008.135151
-22.816142;-46.928148;0.000000;0.565305;8008.234842
-22.816142;-46.928148;0.000000;0.565305;8008.342120
-22.816142;-46.928148;0.000000;0.565305;8008.468659
-22.816142;-46.928148;0.018520;0.565597;8008.582223
-22.816142;-46.928148;0.018520;0.566131;8008.685994
-22.816142;-46.928148;0.000000;0.566450;8008.810059
-22.816142;-46.928148;0.000000;0.566450;8008.912254
-22.816142;-46.928148;0.018520;0.566785;8009.042301
-22.816142;-46.928148;0.000000;0.567042;8009.142305
-22.816142;-46.928148;0.000000;0.567042;8009.270366
-22.816142;-46.928148;0.018520;0.567382;8009.402408
-22.816142;-46.928148;0.018520;0.567965;8009.515886
-22.816142;-46.928148;0.000000;0.568132;8009.580677
-22.816142;-46.928148;0.000000;0.568132;8009.690021
-22.816142;-46.928148;0.000000;0.568132;8009.838017
-22.816142;-46.928148;0.000000;0.568132;8009.905287
-22.816142;-46.928148;0.000000;0.568132;8010.026052
-22.816142;-46.928148;0.000000;0.568132;8010.130555
-22.816142;-46.928148;0.000000;0.568132;8010.241050
-22.816142;-46.928148;0.000000;0.568132;8010.351250
-22.816142;-46.928148;0.000000;0.568132;8010.458244
-22.816142;-46.928148;0.000000;0.568132;8010.581034
-22.816142;-46.928148;0.000000;0.568132;8010.682038
-22.816142;-46.928148;0.000000;0.568132;8010.803807
-22.816142;-46.928148;0.000000;0.568132;8010.917830
-22.816142;-46.928148;0.000000;0.568132;8011.025782
-22.816142;-46.928148;0.000000;0.568132;8011.148107
-22.816142;-46.928148;0.000000;0.568132;8011.246184
-22.816142;-46.928148;0.000000;0.568132;8011.361931
-22.816142;-46.928148;0.000000;0.568132;8011.472785
-22.816142;-46.928148;0.000000;0.568132;8011.586232
-22.816142;-46.928148;0.000000;0.568132;8011.691117
-22.816142;-46.928148;0.000000;0.568132;8011.798247
-22.816142;-46.928148;0.000000;0.568132;8011.921373
-22.816142;-46.928148;0.000000;0.568132;8012.026258
-22.816142;-46.928148;0.000000;0.568132;8012.149298
-22.816142;-46.928148;0.000000;0.568132;8012.233814
-22.816142;-46.928148;0.000000;0.568132;8012.334570
-22.816142;-46.928148;0.000000;0.568132;8012.438879
-22.816142;-46.928148;0.000000;0.568132;8012.538871
-22.816142;-46.928148;0.000000;0.568132;8012.655403
-22.816142;-46.928148;0.000000;0.568132;8012.768727
-22.816142;-46.928148;0.000000;0.568132;8012.876793
-22.816142;-46.928148;0.000000;0.568132;8012.987985
-22.816142;-46.928148;0.000000;0.568132;8013.108160
-22.816142;-46.928148;0.000000;0.568132;8013.220832
-22.816142;-46.928148;0.000000;0.568132;8013.358088
-22.816142;-46.928148;0.000000;0.568132;8013.449491
-22.816142;-46.928148;0.000000;0.568132;8013.550217
-22.816142;-46.928148;0.000000;0.568132;8013.651977
-22.816142;-46.928148;0.000000;0.568132;8013.754152
-22.816142;-46.928148;0.000000;0.568132;8013.871733
-22.816142;-46.928148;0.000000;0.568132;8013.991806
-22.816142;-46.928148;0.000000;0.568132;8014.085768
-22.816142;-46.928148;0.000000;0.568132;8014.197495
-22.816142;-46.928148;0.000000;0.568132;8014.305912
-22.816142;-46.928148;0.000000;0.568132;8014.410060
-22.816142;-46.928148;0.000000;0.568132;8014.533735
-22.816142;-46.928148;0.000000;0.568132;8014.615262
-22.816142;-46.928148;0.000000;0.568132;8014.730085
-22.816142;-46.928148;0.000000;0.568132;8014.846234
-22.816142;-46.928148;0.000000;0.568132;8014.976605
-22.816142;-46.928148;0.000000;0.568132;8015.082942
-22.816142;-46.928148;0.000000;0.568132;8015.183713
-22.816142;-46.928148;0.000000;0.568132;8015.289891
-22.816142;-46.928148;0.000000;0.568132;8015.399737
-22.816142;-46.928148;0.000000;0.568132;8015.529833
-22.816142;-46.928148;0.000000;0.568132;8015.607291
-22.816142;-46.928148;0.000000;0.568132;8015.738860
-22.816142;-46.928148;0.000000;0.568132;8015.825801
-22.816142;-46.928148;0.000000;0.568132;8015.935346
-22.816142;-46.928148;0.000000;0.568132;8016.050915
-22.816142;-46.928148;0.000000;0.568132;8016.173436
-22.816142;-46.928148;0.000000;0.568132;8016.284441
-22.816142;-46.928148;0.000000;0.568132;8016.402072
-22.816142;-46.928148;0.000000;0.568132;8016.516965
-22.816142;-46.928148;0.000000;0.568132;8016.622205
-22.816142;-46.928148;0.000000;0.568132;8016.748923
-22.816142;-46.928148;0.000000;0.568132;8016.867919
-22.816142;-46.928148;0.000000;0.568132;8016.966049
-22.816142;-46.928148;0.000000;0.568132;8017.072708
-22.816142;-46.928148;0.000000;0.568132;8017.192316
-22.816142;-46.928148;0.000000;0.568132;8017.293468
-22.816142;-46.928148;0.000000;0.568132;8017.411691
-22.816142;-46.928148;0.000000;0.568132;8017.496247
-22.816142;-46.928148;0.018520;0.568461;8017.624199
-22.816142;-46.928148;0.018520;0.568976;8017.724189
-22.816142;-46.928148;0.018520;0.569602;8017.845843
-22.816142;-46.928148;0.018520;0.570307;8017.983023
-22.816142;-46.928148;0.018520;0.570696;8018.058608
-22.816142;-46.928148;0.000000;0.571006;8018.179204
-22.816142;-46.928148;0.000000;0.571006;8018.279203
-22.816142;-46.928148;0.000000;0.571006;8018.413300
-22.816142;-46.928148;0.000000;0.571006;8018.515145
-22.816142;-46.928148;0.000000;0.571006;8018.641819
-22.816142;-46.928148;0.000000;0.571006;8018.749825
-22.816142;-46.928148;0.000000;0.571006;8018.841009
-22.816142;-46.928148;0.000000;0.571006;8018.926390
-22.816142;-46.928148;0.000000;0.571006;8019.034993
-22.816142;-46.928148;0.000000;0.571006;8019.138131
-22.816142;-46.928148;0.000000;0.571006;8019.256811
-22.816142;-46.928148;0.000000;0.571006;8019.365986
-22.816142;-46.928148;0.000000;0.571006;8019.479890
-22.816142;-46.928148;0.000000;0.571006;8019.597894
-22.816142;-46.928148;0.000000;0.571006;8019.722090
-22.816142;-46.928148;0.000000;0.571006;8019.846102
-22.816142;-46.928148;0.000000;0.571006;8019.971813
-22.816142;-46.928148;0.000000;0.571006;8020.040210
-22.816142;-46.928148;0.000000;0.571006;8020.166571
-22.816142;-46.928148;0.000000;0.571006;8020.268387
-22.816142;-46.928148;0.000000;0.571006;8020.371560
-22.816142;-46.928148;0.000000;0.571006;8020.482700
-22.816142;-46.928148;0.000000;0.571006;8020.584716
-22.816142;-46.928148;0.000000;0.571006;8020.701260
-22.816142;-46.928148;0.018520;0.571280;8020.807732
-22.816142;-46.928148;0.018520;0.571795;8020.907883
-22.816142;-46.928148;0.000000;0.572119;8021.033839
-22.816142;-46.928148;0.000000;0.572119;8021.134279
-22.816142;-46.928148;0.000000;0.572119;8021.270528
-22.816142;-46.928148;0.000000;0.572119;8021.341826
-22.816142;-46.928148;0.000000;0.572119;8021.463580
-22.816142;-46.928148;0.000000;0.572119;8021.563044
-22.816142;-46.928148;0.000000;0.572119;8021.683400
-22.816142;-46.928148;0.018520;0.572373;8021.782076
-22.816142;-46.928148;0.018520;0.573013;8021.906386
-22.816142;-46.928148;0.018520;0.573582;8022.017058
-22.816142;-46.928148;0.018520;0.574143;8022.126158
